Depth	GRDE	CODE	LSDU	BRDU	CADE	DENL	DENB	DEPO	ADEN	VL2F	VL4F	VL6F	VL2A	SPOR	LSN	SSN	RPOR	FE1	FE2	M	A	VM	FC
194.23	177.62	2.18	1578.09	21935.61	99.41	2.17	2.16	28.42	2.2	2797.88	2891.65	2936.29	2848.36	35.57	209.73	2700.32	44.94	43.25	23.61		100		
194.22	174.39	2.16	1616.65	22259.29	99.42	2.14	2.13	29.64	2.18	2765.72	2831.85	2899.65	2815.46	36.43	202.22	2695.03	47.05	48.01	26.29		100		
194.21	179.52	2.14	1674.05	22393.23	99.39	2.12	2.12	31.04	2.16	2741.94	2780.77	2872.15	2772.41	37.1	201.86	2660.65	46.36	55.4	29.36		100		
194.2	180.68	2.12	1776.86	22482.53	99.4	2.1	2.12	32.36	2.15	2734.24	2747.31	2847.97	2746.75	37.81	205.49	2658.01	45.22	65.74	35.07		100		
194.19	176.13	2.09	1897.65	22995.96	99.36	2.07	2.08	33.77	2.13	2726.54	2708.01	2819.23	2751.79	38.6	201.86	2646.55	46.04	80.23	42.82	3.9	45	20.2	30.9
194.18	167.93	2.07	2034.73	23406.7	99.37	2.05	2.05	35.01	2.11	2726.54	2672.52	2793.23	2736.68	39.27	181.1	2613.05	52.32	101.38	52.03	3.9	45	20.2	30.9
194.17	162.14	2.05	2161.53	23750.48	99.4	2.03	2.03	36.29	2.1	2726.54	2658.52	2772.81	2711.95	39.95	178.98	2577.78	52.2	123.36	67.07	3.9	45	20.2	30.9
194.16	157.42	2.03	2300.32	24270.61	99.46	2	1.99	37.78	2.07	2711.76	2624.82	2747.74	2711.95	40.67	171.39	2529.29	53.94	148.35	83.39	3.9	45	20.2	30.9
194.15	157.42	2	2415.12	24703.68	99.46	1.98	1.96	39.26	2.05	2696.98	2604.61	2716.15	2716.89	41.45	156.99	2507.25	60.06	167.45	99	3.9	45	20.2	30.9
194.14	151.78	1.98	2558.19	24922.44	99.48	1.95	1.95	40.84	2.02	2668.2	2585.4	2692.39	2683.48	42.24	149.21	2476.4	63.33	185.27	115.24	3.9	45	20.2	30.9
194.13	152.2	1.95	2680.7	25284.08	99.48	1.93	1.92	42.39	1.99	2640.19	2569.3	2666.37	2646.93	42.99	138.96	2385.59	66.4	191.69	127.55	3.9	45	20.2	30.9
194.12	150.79	1.93	2863.19	25614.46	99.45	1.9	1.9	43.9	1.96	2585.51	2537.26	2636.15	2615.79	43.93	146.65	2345.04	60.16	194.68	135.2	3.9	45	20.2	30.9
194.11	143.34	1.9	3027.68	25958.24	99.42	1.88	1.88	45.46	1.92	2545.6	2534.12	2611.02	2570.08	44.75	145.41	2298.32	59.2	186.83	135.64	3.9	45	20.2	30.9
194.1	139.2	1.88	3189.6	26357.82	99.45	1.85	1.85	46.96	1.88	2493.7	2515.38	2593.3	2516.12	45.43	140.55	2263.05	60.73	176.41	131.03	3.9	45	20.2	30.9
194.09	129.26	1.85	3379.79	26920.36	99.44	1.83	1.81	48.52	1.84	2455.79	2518.48	2569.43	2490.55	46.14	130.39	2201.34	64.86	162.55	121.41	3.9	45	20.2	30.9
194.08	125.04	1.82	3575.13	27534.25	99.37	1.8	1.76	50.05	1.79	2413.19	2509.28	2549.9	2462.39	46.78	123.95	2161.67	67.9	151.79	114.09	3.9	45	20.2	30.9
194.07	126.11	1.8	3743.9	28291	99.42	1.78	1.7	51.58	1.75	2395.4	2509.28	2537.05	2430.98	47.23	118.73	2159.91	72.12	142.45	103.59	3.9	45	20.2	30.9
194.06	128.02	1.77	3946.09	29266.52	99.43	1.76	1.63	53.03	1.72	2371.96	2506.18	2516.15	2392.33	47.79	121.21	2151.97	69.65	136.28	99.2	3.9	45	20.2	30.9
194.05	123.96	1.75	4108.01	30052.29	99.42	1.73	1.57	54.46	1.69	2360.53	2497.31	2501.59	2351.46	48.13	117.32	2100.84	70.5	133.95	95.82	3.9	45	20.2	30.9
194.04	120.24	1.73	4326.48	30610.37	99.49	1.71	1.53	55.92	1.65	2343.59	2485.12	2489.46	2321.05	48.58	125.18	2081.44	63.5	132.12	94.43	3.9	45	20.2	30.9
194.03	116.59	1.71	4538.95	30809.05	99.56	1.69	1.51	57.24	1.62	2349.23	2473.36	2475.25	2306.32	48.91	125.01	2069.1	63.1	132.5	93.28	3.9	45	20.2	30.9
194.02	110.13	1.68	4705.15	30916.2	99.5	1.66	1.51	58.52	1.6	2332.69	2453.15	2457.13	2306.32	49.36	119.88	2056.76	66.34	133.43	94.61	3.9	45	20.2	30.9
194.01	104.42	1.66	4897.06	30967.54	99.47	1.64	1.5	59.81	1.58	2327.17	2424.08	2453.15	2302.78	49.55	114.93	2027.67	69.02	139.6	94.7	3.9	45	20.2	30.9
194	98.71	1.64	5178.92	30976.47	99.46	1.62	1.5	61	1.57	2321.66	2415.53	2443.25	2313.24	50	110.87	2025.9	72.59	147.57	98.08	3.9	45	20.2	30.9
193.99	91.09	1.62	5434.23	30889.41	99.45	1.6	1.51	62.23	1.56	2327.17	2392.82	2445.23	2299.4	50.04	109.46	1980.06	71.54	154.33	102.15	3.9	45	20.2	30.9
193.98	85.13	1.6	5644.13	31114.87	99.45	1.58	1.49	63.37	1.56	2305.36	2384.36	2441.31	2299.4	50.41	108.31	1979.18	72.59	167.81	111.13	3.9	45	20.2	30.9
193.97	87.36	1.59	5887.44	31081.39	99.47	1.56	1.49	64.51	1.57	2305.36	2373.53	2443.26	2303.11	50.41	109.72	1979.18	71.25	174.53	117.37	3.9	45	20.2	30.9
193.96	80.32	1.57	6148.74	31177.38	99.54	1.54	1.49	65.7	1.56	2294.72	2368.12	2441.3	2317.6	50.71	112.11	1965.07	68.39	183.3	123.91	5.3	9.8	32.8	52.1
193.95	78.83	1.55	6356.07	31251.04	99.52	1.52	1.48	66.88	1.54	2289.33	2349.26	2437.45	2317.6	50.94	112.11	1916.59	66.01	188.8	133.54	5.3	9.8	32.8	52.1
193.94	76.35	1.53	6618.23	31422.93	99.47	1.5	1.47	68	1.53	2283.82	2346.57	2425.8	2324.42	51.28	106.72	1914.82	70.71	195.51	139.03	5.3	9.8	32.8	52.1
193.93	76.18	1.51	6839.27	31621.61	99.45	1.49	1.45	69.04	1.53	2294.46	2333.11	2418.15	2317.39	51.65	94.79	1877.8	81.78	194.2	139.55	5.3	9.8	32.8	52.1
193.92	73.7	1.49	7104.85	31989.94	99.49	1.47	1.43	70.07	1.51	2305.36	2333.11	2402.99	2302.9	52.21	101.33	1877.8	74.09	199.52	142.08	5.3	9.8	32.8	52.1
193.91	66.33	1.48	7445.83	31949.76	99.45	1.45	1.43	71.02	1.49	2316.01	2325.21	2384.17	2288.41	52.74	99.74	1837.24	73.44	204.04	145.62	5.3	9.8	32.8	52.1
193.9	66.16	1.46	7670.29	32041.28	99.42	1.44	1.42	71.92	1.46	2321.4	2330.45	2372.97	2274.57	53.26	97	1840.77	76.71	215.06	147.4	5.3	9.8	32.8	52.1
193.89	62.85	1.45	7899.04	32563.64	99.42	1.43	1.38	72.78	1.42	2321.4	2314.92	2360.06	2267.75	53.67	88.96	1809.03	85.1	222.31	155.72	5.3	9.8	32.8	52.1
193.88	62.77	1.44	8071.24	32847.14	99.48	1.41	1.36	73.56	1.41	2326.91	2317.55	2350.84	2282.02	53.97	84.9	1826.66	92.93	242.81	162.39	5.3	9.8	32.8	52.1
193.87	63.93	1.42	8274.28	33284.68	99.47	1.4	1.32	74.32	1.39	2316.01	2317.55	2341.83	2285.56	54.46	92.14	1825.78	81.82	261.18	176.78	5.3	9.8	32.8	52.1
193.86	61.86	1.41	8369.38	33994.55	99.46	1.39	1.27	74.99	1.37	2316.01	2320.15	2336.46	2292.7	54.72	98.77	1775.53	70.9	282.44	191.93	5.3	9.8	32.8	52.1
193.85	57.05	1.4	8520.16	34411.99	99.53	1.38	1.24	75.5	1.35	2310.63	2317.52	2327.52	2303	55.06	98.94	1735.86	68.47	305.4	209.86	5.3	9.8	32.8	52.1
193.84	52.5	1.4	8705.22	34525.84	99.51	1.38	1.23	75.97	1.34	2310.63	2325.15	2323.96	2306.38	55.29	98.94	1717.34	67.44	349.77	228.16	5.3	9.8	32.8	52.1
193.83	51.26	1.39	8792.6	34521.38	99.5	1.37	1.23	76.34	1.32	2299.73	2322.52	2318.59	2288.68	55.55	103.01	1708.53	63.28	390.1	261.41	5.3	9.8	32.8	52.1
193.82	47.28	1.38	8924.54	34626.29	99.48	1.36	1.22	76.71	1.3	2305.11	2317.29	2322.15	2278.22	55.51	103.1	1735.86	64.62	443.05	293.36	5.3	9.8	32.8	52.1
193.81	43.22	1.38	9004.21	34168.67	99.52	1.36	1.26	77.02	1.3	2299.73	2314.68	2318.64	2264.16	55.7	102.3	1693.54	63.11	509.03	336.64	5.3	9.8	32.8	52.1
193.8	43.22	1.37	9014.5	34182.07	99.46	1.35	1.25	77.32	1.3	2305.11	2306.96	2322.18	2253.86	55.62	101.06	1728.81	66.07	578.39	389.46	5.3	9.8	32.8	52.1
193.79	37.93	1.37	9137.87	34262.43	99.5	1.35	1.25	77.58	1.3	2305.11	2317.55	2315.21	2260.78	55.81	98.41	1737.62	69.1	645.3	449.46	5.3	9.8	32.8	52.1
193.78	39.25	1.37	9161.85	34362.88	99.5	1.34	1.24	77.79	1.32	2310.5	2320.18	2316.99	2260.78	55.77	103.98	1718.23	62.95	715.7	507.31	5.3	9.8	32.8	52.1
