Depth	GRDE	CODE	LSDU	BRDU	CADE	DENL	DENB	DEPO	ADEN	VL2F	VL4F	VL6F	VL2A	SPOR	LSN	SSN	RPOR	FE1	FE2	M	A	VM	FC
2.28831631	2.249491866	0.338456494	3.198131768	4.341149716	1.997430074	0.336459734	0.334453751	1.453624074	0.342422681	3.446829084	3.461145726	3.467798946	3.454594878	1.551083865	2.321660557	3.431415233	1.652633068	1.635986112	1.373095987		100		
2.28829395	2.241521578	0.334453751	3.208616007	4.347511308	1.997473759	0.330413773	0.328379603	1.471878199	0.338456494	3.44180821	3.452070246	3.46234558	3.449549362	1.561459171	2.305824106	3.430563604	1.672559628	1.681331706	1.419790586		100		
2.288271588	2.25411284	0.330413773	3.223768425	4.350116741	1.997342691	0.326335861	0.326335861	1.491921713	0.334453751	3.438057947	3.444165069	3.458207117	3.442857457	1.56937391	2.305050269	3.424987748	1.666143427	1.743509765	1.467756051		100		
2.288249226	2.256910082	0.326335861	3.249653211	4.351845182	1.997386384	0.322219295	0.326335861	1.510008513	0.33243846	3.436836632	3.438907667	3.45453541	3.438819133	1.577606677	2.312790692	3.424556611	1.655330558	1.8178297	1.544935766		100		
2.288226862	2.245833335	0.320146286	3.278216115	4.361651545	1.997211583	0.315970345	0.318063335	1.528531061	0.328379603	3.435611873	3.432650264	3.450130508	3.439615288	1.586587305	2.305050269	3.422680103	1.663135315	1.904336792	1.631646663	3.9	45	20.2	30.9
2.288204497	2.225128288	0.315970345	3.308506788	4.369340189	1.99725529	0.311753861	0.311753861	1.544192111	0.324282455	3.435611873	3.426920964	3.446106698	3.437224018	1.594060901	2.25791845	3.41714772	1.718667735	2.005952287	1.716253826	3.9	45	20.2	30.9
2.288182131	2.209890169	0.311753861	3.334761268	4.375672391	1.997386384	0.307496038	0.307496038	1.559786968	0.322219295	3.435611873	3.424639932	3.442920112	3.433281678	1.601516784	2.252804504	3.41124585	1.717670503	2.091174361	1.826528306	3.9	45	20.2	30.9
2.288159763	2.197059908	0.307496038	3.361788255	4.385080692	1.997648455	0.301029996	0.298853076	1.577261954	0.315970345	3.43325125	3.419099527	3.438975636	3.433281678	1.609274172	2.233985479	3.402998627	1.731910942	2.171287551	1.921113974	3.9	45	20.2	30.9
2.288137395	2.197059908	0.301029996	3.382938714	4.392761653	1.997648455	0.29666519	0.292256071	1.593950295	0.311753861	3.430877726	3.415742704	3.43395375	3.434072055	1.617524535	2.195871989	3.39919764	1.778585328	2.223885152	1.995635195	3.9	45	20.2	30.9
2.288115025	2.181214548	0.29666519	3.407932797	4.396590559	1.997735777	0.290034611	0.290034611	1.611085733	0.305351369	3.42621838	3.412527744	3.430137969	3.428698363	1.62572391	2.17379793	3.393820795	1.801609488	2.267805102	2.06160325	3.9	45	20.2	30.9
2.288092655	2.182414652	0.290034611	3.428248214	4.402847156	1.997735777	0.285557309	0.283301229	1.627263417	0.298853076	3.421635182	3.409814817	3.425920414	3.422742456	1.633367445	2.142889805	3.377595806	1.822168079	2.282599457	2.105680463	3.9	45	20.2	30.9
2.288070283	2.178372541	0.285557309	3.456850169	4.408485205	1.997604787	0.278753601	0.278753601	1.64246452	0.292256071	3.412546222	3.404364973	3.420970118	3.417602875	1.642761203	2.166282067	3.370150255	1.779307828	2.289321338	2.130976692	3.9	45	20.2	30.9
2.28804791	2.1563674	0.278753601	3.481109972	4.414275243	1.997473759	0.274157849	0.274157849	1.657629431	0.283301229	3.405790162	3.403827176	3.416810198	3.409946642	1.65079304	2.162594274	3.361410496	1.772321707	2.271446614	2.132387781	3.9	45	20.2	30.9
2.288025535	2.143639235	0.274157849	3.503736223	4.420909488	1.997604787	0.267171728	0.267171728	1.671728088	0.274157849	3.396844205	3.400603603	3.41385276	3.40073135	1.657342737	2.14783085	3.354694149	1.783403281	2.2465232	2.117370741	3.9	45	20.2	30.9
2.28800316	2.111464152	0.267171728	3.528889717	4.430080863	1.997561116	0.26245109	0.257678575	1.685920792	0.264817823	3.390191227	3.401138506	3.409836791	3.396295265	1.66407759	2.115244285	3.342687125	1.811976944	2.210986974	2.084254459	3.9	45	20.2	30.9
2.287980784	2.097048965	0.260071388	3.553291838	4.439873251	1.99725529	0.255272505	0.245512668	1.699404082	0.252853031	3.382591517	3.399549125	3.406523149	3.391356839	1.670060217	2.093246531	3.334789395	1.831869774	2.181243161	2.05724758	3.9	45	20.2	30.9
2.287958406	2.100749526	0.255272505	3.57332424	4.451648299	1.997473759	0.250420002	0.230448921	1.712481338	0.243038049	3.379378045	3.399549125	3.404329026	3.385781386	1.674217946	2.074560468	3.334435655	1.858055718	2.153662454	2.015317833	3.9	45	20.2	30.9
2.287936027	2.107277823	0.247973266	3.596166986	4.466371085	1.997517439	0.245512668	0.212187604	1.724521627	0.235528447	3.375107361	3.39901226	3.400736528	3.378821086	1.679337031	2.083538451	3.332836213	1.842921121	2.134432125	1.996511672	3.9	45	20.2	30.9
2.287913647	2.093281568	0.243038049	3.613631492	4.477877571	1.997473759	0.238046103	0.195899652	1.736077637	0.227886705	3.373009524	3.397472456	3.398216132	3.371337595	1.682415862	2.069372054	3.322392978	1.848189117	2.126942718	1.981456167	3.9	45	20.2	30.9
2.287891266	2.080048968	0.238046103	3.6361347	4.485868579	1.997779431	0.23299611	0.184691431	1.747567163	0.217483944	3.369881636	3.395347365	3.396105153	3.365684496	1.68645751	2.097534947	3.318363896	1.802773725	2.120968565	1.97510999	3.9	45	20.2	30.9
2.287868884	2.066661302	0.23299611	3.656955399	4.488678307	1.998084888	0.227886705	0.178976947	1.757699625	0.209515015	3.370925538	3.393287333	3.393619069	3.362919565	1.689397663	2.096944755	3.315781481	1.800029359	2.122215878	1.969788537	3.9	45	20.2	30.9
2.2878465	2.041905639	0.225309282	3.672573473	4.490186108	1.997823081	0.220108088	0.178976947	1.767304317	0.204119983	3.367857028	3.389724104	3.390428134	3.362919565	1.693375151	2.078746734	3.313183618	1.821775467	2.125253486	1.975937042	3.9	45	20.2	30.9
2.287824116	2.018783689	0.220108088	3.689935425	4.490906707	1.997692118	0.214843848	0.176091259	1.776773802	0.198657087	3.36682811	3.384546948	3.389724104	3.362252449	1.695043659	2.060433407	3.306997276	1.838974955	2.144885418	1.976349979	3.9	45	20.2	30.9
2.28780173	1.994361152	0.214843848	3.714239202	4.491031925	1.997648455	0.209515015	0.176091259	1.785329835	0.195899652	3.365798619	3.383012436	3.387967907	3.364220693	1.698970004	2.044814048	3.306618004	1.860876796	2.168998077	1.991580457	3.9	45	20.2	30.9
2.287779343	1.959470702	0.209515015	3.735138016	4.489809613	1.997604787	0.204119983	0.178976947	1.793999801	0.193124598	3.36682811	3.37891003	3.388319715	3.361614527	1.699317301	2.039255444	3.296678351	1.854548936	2.188450356	2.009238371	3.9	45	20.2	30.9
2.287756955	1.930082633	0.204119983	3.751597008	4.492967991	1.997604787	0.198657087	0.173186268	1.801883707	0.193124598	3.362738754	3.377371827	3.38762293	3.361614527	1.702516697	2.034668556	3.296485294	1.860876796	2.224817837	2.045831314	3.9	45	20.2	30.9
